customer_id,name,email,gender,age,location,join_date
1,Sheri Hull,wendy67@example.org,Female,50,North Kristi,20-06-2024
2,Lisa Williams,danielschristine@example.net,Other,52,North Shannon,08-07-2025
3,Barbara Hoffman,batesneil@example.org,Male,44,Foleyshire,03-12-2023
4,Megan Johnson,brooksdebra@example.com,Other,62,Simpsonmouth,06-10-2023
5,Alejandra Hayes,donald81@example.org,Other,50,Fergusonchester,22-10-2023
6,Monica Alexander,benjaminrobbins@example.com,Female,43,West Martinfurt,05-05-2024
7,Daniel Smith,justin54@example.net,Male,53,East Susanview,12-09-2024
8,Devon Wagner,suespencer@example.net,Female,38,Lake Johnfurt,23-01-2024
9,Krystal Schmidt,greenelizabeth@example.org,Other,31,North Jeffreyshire,22-03-2024
10,Robin Bailey,kyle17@example.com,Other,32,Morganland,23-08-2025
11,Justin Miller,annehernandez@example.com,Male,35,Davischester,07-12-2024
12,Timothy Ruiz,maldonadojennifer@example.org,Female,30,Carrfort,26-07-2024
13,Kristina Padilla,lisa53@example.com,Other,45,South Thomas,17-12-2024
14,John Pacheco,angelaparker@example.net,Male,45,New Bethburgh,03-08-2024
15,Stephen Robles,nguyenholly@example.com,Other,52,South Taylor,07-06-2024
16,Melissa Cuevas,nancysimmons@example.net,Male,40,Susanland,17-09-2024
17,Heidi Burch,fernandezbryan@example.com,Other,61,Richbury,11-05-2025
18,Anita Aguilar,heather51@example.org,Female,25,Millermouth,05-05-2024
19,Brooke White,susansanchez@example.com,Female,19,Brittanyland,21-01-2024
20,Manuel Baker,fosterjennifer@example.org,Other,18,South Aliciachester,07-08-2025
21,Scott Dickerson,becky43@example.net,Female,25,North Melissahaven,15-03-2024
22,Michael Kelly,chadnewman@example.org,Female,53,West Jodybury,24-05-2025
23,Justin Wilson,fcruz@example.net,Female,55,South Leahchester,22-09-2023
24,Veronica Lane,jasonelliott@example.com,Male,29,West Michaelport,01-05-2024
25,Dr. Mark Mitchell,wburgess@example.org,Female,44,Rebeccaview,11-02-2024
26,Kelli Hardy,nclark@example.org,Female,24,Lake Ericchester,19-12-2024
27,Clarence Smith,ysanchez@example.net,Other,27,Port Tracey,14-09-2024
28,Denise Buckley,kellyevans@example.net,Female,39,Patrickmouth,05-02-2025
29,Kayla Burns,robertnewman@example.org,Other,45,North Sandra,02-04-2024
30,Margaret Bishop,jesus66@example.net,Other,50,Aprilview,27-01-2024
31,Zachary Miller,herickson@example.com,Other,33,Lake Nicholasmouth,06-03-2024
32,Charles Barrett,dustin27@example.org,Female,39,Lake Tammy,14-01-2025
33,Jeremiah Glass,pfernandez@example.net,Male,26,Rebeccastad,19-06-2025
34,Lisa Gates,samuelrivera@example.net,Female,49,Chelseyton,27-12-2024
35,Raymond Graves,lrasmussen@example.org,Female,25,South Nancy,08-03-2025
36,David Taylor,castrorebecca@example.com,Male,39,Port Susan,08-03-2024
37,Natalie Russo,haysgeorge@example.net,Other,60,East Patrick,24-09-2024
38,Sonya Patel,dicksonthomas@example.com,Female,19,West Nicholas,20-03-2024
39,Amy Elliott,ellen71@example.net,Other,56,Stewarthaven,09-07-2024
40,Marissa Russell,nicholsonphillip@example.com,Female,61,East Carlatown,26-01-2024
41,Gina Shepard,btyler@example.org,Female,47,North Kimtown,03-10-2023
